image,split,condition_group,method,detected,true_x,true_y,command_x,command_y,initial_distance,final_distance,success_3cm,success_1cm,final_x,final_y
test_a/00000.png,test_a,A,ground_truth,True,0.5609160737008766,0.2765447278336406,0.5609160737008766,0.2765447278336406,0.5618541389513374,0.0002316443941698105,True,True,0.560801777203438,0.27674621092480106
test_a/00000.png,test_a,A,rule_based,True,0.5609160737008766,0.2765447278336406,0.5630208333333332,0.2723090277777779,0.5618541389513374,0.0044778971055918155,True,True,0.5628981327550884,0.2725293817222967
test_a/00000.png,test_a,A,cnn,True,0.5609160737008766,0.2765447278336406,0.5528430342674255,0.2678968906402588,0.5618541389513374,0.011765509015117104,True,False,0.5527388894754673,0.2680853625779893
test_a/00001.png,test_a,A,ground_truth,True,-0.05045014079675677,0.42722451750316603,-0.05045014079675677,0.42722451750316603,1.1804707962230219,0.0008792760198753919,True,True,-0.04957134710515537,0.4272536373714607
test_a/00001.png,test_a,A,rule_based,True,-0.05045014079675677,0.42722451750316603,-0.046155024509803945,0.4186427696078433,1.1804707962230219,0.00998078035451104,True,True,-0.04533315868649479,0.4186552427048968
test_a/00001.png,test_a,A,cnn,True,-0.05045014079675677,0.42722451750316603,-0.04102692753076553,0.4792135953903198,1.1804707962230219,0.05312184686131064,False,False,-0.03983637765524012,0.4792752489671169
test_a/00002.png,test_a,A,ground_truth,True,-0.6153005864657897,0.2567409376250751,-0.6153005864657897,0.2567409376250751,1.6849753565960264,0.001130541085875122,True,True,-0.615677914683363,0.255675223515628
test_a/00002.png,test_a,A,rule_based,True,-0.6153005864657897,0.2567409376250751,-0.6129340277777778,0.2583333333333333,1.6849753565960264,0.002123175657648327,True,True,-0.6132765511026645,0.25738215188103747
test_a/00002.png,test_a,A,cnn,True,-0.6153005864657897,0.2567409376250751,-0.6541306376457214,0.26582497358322144,1.6849753565960264,0.040418323832841455,False,False,-0.6553782911277363,0.26197720447142886
test_a/00003.png,test_a,A,ground_truth,True,-0.03314068642579989,0.5540788534386217,-0.03314068642579989,0.5540788534386217,1.2166335201772187,0.001877121705459956,True,True,-0.03126954273062371,0.5542285436824966
