image,split,condition_group,method,true_x,true_y,predicted_x,predicted_y,error_m,within_3cm,within_1cm,detected
test_a/00000.png,test_a,A,ground_truth,0.5609160737008766,0.2765447278336406,0.5609160737008766,0.2765447278336406,0.0,True,True,True
test_a/00000.png,test_a,A,handcrafted,0.5609160737008766,0.2765447278336406,0.5630208333333332,0.2723090277777779,0.004729816917561843,True,True,True
test_a/00000.png,test_a,A,cnn,0.5609160737008766,0.2765447278336406,0.5528430342674255,0.2678968906402588,0.011830429147638448,True,False,True
test_a/00001.png,test_a,A,ground_truth,-0.05045014079675677,0.42722451750316603,-0.05045014079675677,0.42722451750316603,0.0,True,True,True
test_a/00001.png,test_a,A,handcrafted,-0.05045014079675677,0.42722451750316603,-0.046155024509803945,0.4186427696078433,0.009596583811821975,True,True,True
test_a/00001.png,test_a,A,cnn,-0.05045014079675677,0.42722451750316603,-0.04102692753076553,0.4792135953903198,0.05283617291035467,False,False,True
test_a/00002.png,test_a,A,ground_truth,-0.6153005864657897,0.2567409376250751,-0.6153005864657897,0.2567409376250751,0.0,True,True,True
test_a/00002.png,test_a,A,handcrafted,-0.6153005864657897,0.2567409376250751,-0.6129340277777778,0.2583333333333333,0.002852424252365594,True,True,True
test_a/00002.png,test_a,A,cnn,-0.6153005864657897,0.2567409376250751,-0.6541306376457214,0.26582497358322144,0.039878472687968076,False,False,True
test_a/00003.png,test_a,A,ground_truth,-0.03314068642579989,0.5540788534386217,-0.03314068642579989,0.5540788534386217,0.0,True,True,True
test_a/00003.png,test_a,A,handcrafted,-0.03314068642579989,0.5540788534386217,-0.0359375,0.5525716145833334,0.0031770953929211735,True,True,True
test_a/00003.png,test_a,A,cnn,-0.03314068642579989,0.5540788534386217,-0.026166504248976707,0.5713921785354614,0.018665220141867528,True,False,True
test_a/00004.png,test_a,A,ground_truth,-0.29694776411280666,0.846189471927055,-0.29694776411280666,0.846189471927055,0.0,True,True,True
test_a/00004.png,test_a,A,handcrafted,-0.29694776411280666,0.846189471927055,-0.2994791666666666,0.8473090277777778,0.0027679241666953842,True,True,True
test_a/00004.png,test_a,A,cnn,-0.29694776411280666,0.846189471927055,-0.2760179936885834,0.8561396598815918,0.023174588029591846,True,False,True
test_a/00005.png,test_a,A,ground_truth,-0.6885375712150505,0.4485956844377347,-0.6885375712150505,0.4485956844377347,0.0,True,True,True
test_a/00005.png,test_a,A,handcrafted,-0.6885375712150505,0.4485956844377347,-0.6852787990196079,0.44753370098039225,0.0034274487721130576,True,True,True
test_a/00005.png,test_a,A,cnn,-0.6885375712150505,0.4485956844377347,-0.7845739722251892,0.5201512575149536,0.11976305923526412,False,False,True
test_a/00006.png,test_a,A,ground_truth,-0.5640685115952415,0.42501996430540784,-0.5640685115952415,0.42501996430540784,0.0,True,True,True
test_a/00006.png,test_a,A,handcrafted,-0.5640685115952415,0.42501996430540784,-0.565017361111111,0.42404513888888895,0.0013603675960772454,True,True,True
test_a/00006.png,test_a,A,cnn,-0.5640685115952415,0.42501996430540784,-0.5270460247993469,0.42911720275878906,0.03724851529250603,False,False,True
test_a/00007.png,test_a,A,ground_truth,0.11055527492621446,0.37161699200040016,0.11055527492621446,0.37161699200040016,0.0,True,True,True
